brand,name,type,purpose,indications_and_usage,description,dosage,dataset,cluster,cuaca,demografi,
42905,['Arnica Montana Nartex'],"['ARNICA MONTANA, HAMAMELIS VIRGINIANA']",['HUMAN OTC DRUG'],['Purpose Arnica montana TINC HPUS*......................Anti-inflammatory/Pain relief Hamamelis virginiana TINC HPUS*.............Anti-inflammatory/Pain relief'],"['Uses: Temporary relief for the symptoms of sore muscles, bruises and sprains. Claims based on traditional homeopathic practice, not accepted medical evidence. These uses have not been evaluated by FDA, and product has not been clinically tested.']","['Active ingredients are prepared in accordance with the Homeopathic Pharmacopoeia of the United States, and are therefore non-toxic and have no known side effects. Claims based on traditional homeopathic practice, not accepted medical evidence. These uses have not been evaluated by FDA, and product has not been clinically tested.']",['Directions adults and children over 2 years of age: apply generously rubbing into affected area as needed children 2 years of age: consult a physician'],0,1,1,"[0,1,2]"
43315,['Fluopar'],"['FLUOCINONIDE, DIMETHICONE']",['HUMAN PRESCRIPTION DRUG'],['Purpose Skin Protectant'],"['1 INDICATIONS AND USAGE These highlights do not include all the information needed to use Fluocinonide Cream USP, 0.1% safely and effectively. See full prescribing information for Fluocinonide Cream USP, 0.1%. Fluocinonide Cream USP, 0.1% For topical use Initial U.S. Approval: 1971 HIGHLIGHTS OF PRESCRIBING INFORMATION These highlights do not include all the information needed to use Fluocinonide Cream USP, 0.1% safely and effectively. See full prescribing information for Fluocinonide Cream USP, 0.1%. Fluocinonide Cream USP, 0.1% For topical use Initial U.S. Approval: 1971 Fluocinonide Cream USP, 0.1% is a corticosteroid indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses in patients 12 years of age or older. Limitation of Use: Treatment beyond 2 consecutive weeks is not recommended and the total dosage should not exceed 60 g per week because of the potential for the drug to suppress the hypothalamic-pituitary-adrenal (HPA) axis. (1) Avoid use on the face, groin, or axillae. (1.2) Avoid use in perioral dermatitis or rosacea. 1.1 Indication Fluocinonide Cream USP, 0.1%, is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses in patients 12 years of age or older [see Use in Specific Populations (8.4)]. 1.2 Limitation of Use Treatment beyond 2 consecutive weeks is not recommended and the total dosage should not exceed 60 g per week because the safety of Fluocinonide Cream USP, 0.1% for longer than 2 weeks has not been established and because of the potential for the drug to suppress the hypothalamic-pituitary-adrenal (HPA) axis. Therapy should be discontinued when control of the disease is achieved. If no improvement is seen within 2 weeks, reassessment of the diagnosis may be necessary. Do not use more than half of the 120 g tube per week. Fluocinonide Cream USP, 0.1% should not be used in the treatment of rosacea or perioral dermatitis, and should not be used on the face, groin, or axillae.', 'Uses ¦ for the treatment and/or prevention of diaper rash ¦ temporarily protects and helps relieve chapped or cracked skin']","['11 DESCRIPTION Fluocinonide Cream USP, 0.1% contains fluocinonide, a synthetic corticosteroid for topical dermatologic use. The corticosteroids constitute a class of primarily synthetic steroids used topically as anti-inflammatory and antipruritic agents. Fluocinonide has the chemical name 6a, 9-Difluoro-11ß, 16a, 17, 21-tetrahydroxypregna-1, 4-diene-3, 20-dione, cyclic 16, 17-acetal with acetone, 21-acetate. Its chemical formula is C26H32F2O7 and it has a molecular weight of 494.52. It has the following chemical structure: Fluocinonide is an almost odorless white to creamy white crystalline powder. It is practically insoluble in water and slightly soluble in ethanol. Each gram of Fluocinonide Cream USP, 0.1% contains 1 mg fluocinonide in a cream base of carbopol 980, citric acid, diisopropanolamine, glycerin, glyceryl monostearate, glyceryl stearate, isostearic acid, PEG-100 stearate, polyethylene glycol monomethyl ether, propylene glycol, and water. C26H32F2O7']","['2 DOSAGE AND ADMINISTRATION For topical use only. Fluocinonide Cream USP, 0.1% is not for ophthalmic, oral, or intravaginal use. Psoriasis: apply a thin layer once or twice daily to the affected skin areas. Atopic Dermatitis: apply a thin layer once daily to the affected skin areas. Corticosteroid Responsive Dermatoses, other than psoriasis or atopic dermatitis: apply a thin layer once or twice daily to the affected areas.', 'Directions ¦ apply cream liberally as needed']",0,1,1,"[0,1,2]"
45435,['Naturasil Bite Relief'],['PHOSPHORICUM ACIDUM'],['HUMAN OTC DRUG'],['Purpose Bite Relief'],['Uses: Symptomatic treatment of insect or mite bites.'],['The letters HPUS indicate that the component(s) in this product is (are) officially monographed in the Homeopathic Pharmacopeia of the United States.'],"['Directions: Apply liberally to bite area. Discontinue use if irritation persists. Some individuals may be sensitive to essential oils. Skin test for tolerability. If irritation or reaction occurs, discontinue use.']",0,1,1,"[0,1,2]"
47539,['LevigoSP'],['LIDOCAINE/BENZALKOIUM CHLORIDE SPRAY'],['HUMAN OTC DRUG'],"['Purpose For the temporary relief of minor pain or discomfort associated with minor: cuts, scrapes, burns, sunburn, skin irritations. First aid to prevent bacterial contamination or skin infections.']","['Indications & Usage Directions: Adults and Children over 2 years: Clean the affected area, apply a small amount on the affected area 1 to 3 times daily. If bandaged, let dry first. Children under 2 years: Ask a doctor. Pregnant or breast feeding: Ask a doctor.']",['Description LevigoSP is a Lidocaine HCL 2.5% and Benzalkonium Chloride 0.13% topical anesthetic spray indicated to temporarily relieve minor pain.'],"['Dose & Administration Manufactured By: Wisconsin Pharmacal Co. 1 Pharmacal Way Jackson, WI 53037 Made in the U.S.A. of U.S. and imported materials. Manufactured For: Topicare Therapeutics 1925 Longmire Rd. Bldg. 2 Conroe, TX 77304 Net Wt. 5 FL OZ (150Ml) bottle']",0,1,1,"[0,1,2]"
47952,['No7 Dual Action Tinted Moisturiser Fair'],"['AVOBENZONE, OCTISALATE AND OCTOCRYLENE']",['HUMAN OTC DRUG'],['Purpose section Uses helps prevent sunburn'],"['Indications. Directions apply liberally 15 minutes bfore sun exposure reapply at least every 2 hours. use a water resistant sunscreen if swimming or sweating. children under 6 months of age: Ask a doctor. Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: limit time in the sun, especially from 10 a.m.–2 p.m. wear long-sleeved shirts, pants, hats, and sunglasses.']","['Description. Beautiful Protection. Achieve natural, skin perfecting colour with this sheer, light diffusing, tinted moisturiser. It delivers all day hydration and a powerful antioxidant complex to defend your skin from the ageing effects of the sun and the environment. For Best Results: Shake well before use. Smooth on evenly, just like your usual moisturiser. Hypo-allergenic: Because all skin can have sensitive moments, all our foundation products are hypo-allergenic using ingredients we know and trust.', 'Description. Beautiful Protection. Achieve natural, skin perfecting colour with this sheer, light diffusing tinted moisturiser. It delivers all day hydrtion and a powerful antioxidant complex to defend your skin from the ageing effects of the sun and the environment. For Best Results: Shake well before use. Smooth on evenly, just like your usual moisturiser.']",,0,1,2,"[1,2]"
48118,['Pennsaicin'],['DICLOFENAC SODIUM TOPICAL WITH CAPSAICIN CREAM'],['HUMAN PRESCRIPTION DRUG'],['Rugby Cream Purpose Capsaicin 0.025%'],"['1. INDICATIONS AND USAGE Diclofenac sodium topical solution is a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of signs and symptoms of osteoarthritis of the knee(s). Diclofenac sodium topical solution is a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of signs and symptoms of osteoarthritis of the knee(s). ( 1 )', 'Rugby Cream Uses temporarily relieves minor aches and pains of muscles and joints due to: simple backache arthritis strains sprains']","['11. DESCRIPTION Diclofenac sodium topical solution is a clear, colorless to faintly pink-orange solution for topical application. Diclofenac sodium topical solution contains 1.5% w/w diclofenac sodium, a benzeneacetic acid derivative that is a nonsteroidal anti-inflammatory drug (NSAID), designated chemically as 2-[(2,6-dichlorophenyl)amino]-benzeneacetic acid, monosodium salt. The molecular weight is 318.14. Its molecular formula is C 14 H 10 Cl 2 NNaO 2 and it has the following structural formula: Each 1 mL of solution contains 16.05 mg of diclofenac sodium. In addition diclofenac sodium topical solution contains the following inactive ingredients: dimethyl sulfoxide USP (DMSO, 45.5% w/w), propylene glycol, alcohol, glycerin and purified water. Chemical Structure']","['2. DOSAGE AND ADMINISTRATION For the relief of the signs and symptoms of osteoarthritis of the knee(s), the recommended dose is 40 drops on each painful knee, 4 times a day. ( 2 ) Apply diclofenac sodium topical solution to clean, dry skin. ( 2.1 ) Dispense diclofenac sodium topical solution 10 drops at a time either directly onto the knee or first into the hand and then onto the knee. Spread diclofenac sodium topical solution evenly around front, back and sides of the knee. Repeat this procedure until 40 drops have been applied and the knee is completely covered with solution. ( 2.1 ) Wash hands completely after administering the product. Wait until the area is completely dry before covering with clothing or applying sunscreen, insect repellent, cosmetics, topical medications, or other substances. Do not get diclofenac sodium topical solution in your eyes, nose or mouth. 2.1 General Instructions For the relief of the signs and symptoms of osteoarthritis of the knee(s), the recommended dose is 40 drops per knee, 4 times a day. Apply diclofenac sodium topical solution to clean, dry skin. To avoid spillage, dispense diclofenac sodium topical solution 10 drops at a time either directly onto the knee or first into the hand and then onto the knee. Spread diclofenac sodium topical solution evenly around front, back and sides of the knee. Repeat this procedure until 40 drops have been applied and the knee is completely covered with solution. To treat the other knee, if symptomatic, repeat the procedure. Application of diclofenac sodium topical solution in an amount exceeding or less than the recommended dose has not been studied and is therefore not recommended. 2.2 Special Precautions Avoid showering/bathing for at least 30 minutes after the application of diclofenac sodium topical solution to the treated knee. Wash and dry hands after use. Do not apply diclofenac sodium topical solution to open wounds. Avoid contact of diclofenac sodium topical solution with eyes and mucous membranes. Do not apply external heat and/or occlusive dressings to treated knees. Avoid wearing clothing over the diclofenac sodium topical solution-treated knee(s) until the treated knee is dry. Protect the treated knee(s) from sunlight. Wait until the treated area is dry before applying sunscreen, insect repellant, lotion, moisturizer, cosmetics, or other topical medication to the same knee you have just treated with diclofenac sodium topical solution. Until the treated knee(s) is completely dry, avoid skin-to-skin contact between other people and the treated knee(s).', 'Rugby Cream Directions Adults and children 18 years of age and olde r: apply a thin film of cream to affected area and gently rub in until fully absorbed unless treating hands, wash hands thoroughly with soap and water immediately after application for best results, apply 3 to 4 times daily. Children under 18 years : ask a doctor']",0,1,1,"[0,1,2]"
51599,['NU-DERM system NORMAL-DRY SKIN TRANSFORMATION TRIAL'],"['HYDROQUINONE, HOMOSALATE, OCTISALATE, AND ZINC OXIDE']",['HUMAN PRESCRIPTION DRUG'],['Active ingredients Purpose Homosalate 10% Sunscreen Octisalate 5% Sunscreen Zinc Oxide 16.5% Sunscreen'],"['INDICATIONS AND USAGE For the gradual bleaching of hyperpigmented skin conditions such as chloasma, melasma, freckles, senile lentigines and other unwanted areas of melanin hyperpigmentation.', 'Uses helps prevent sunburn If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun']","['DESCRIPTION Hydroquinone, USP 4% is 1, 4-benzenediol. The drug is freely soluble in water and in alcohol. Chemically, hydroquinone is designated as p-dihydroxybenzene; the empirical formula is C 6 H 6 O 2 ; molecular weight is 110.11 g/mol. The chemical structure is in the diagram below. C 6 H 6 O 2 Chemical Structure Each gram of Obagi Nu-Derm ® Clear contains: ACTIVE: Hydroquinone, USP 4% (40 mg/g) INACTIVES: ascorbic acid, BHT, butylparaben, cetyl alcohol, disodium EDTA, glycerin, lactic acid, methylparaben, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, stearyl alcohol, tocopheryl acetate, water (aqua) Each gram of Obagi Nu-Derm Blender ® contains: ACTIVE: Hydroquinone, USP 4% (40 mg/g) INACTIVES: ascorbic acid, BHT, cetyl alcohol, disodium EDTA, glycerin, lactic acid, methylparaben, phenyl trimethicone, PPG-2 myristyl ether propionate, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, TEA-salicylate, tocopheryl acetate, water (aqua) Each gram of Obagi Nu-Derm ® Sunfader ® contains: ACTIVES: Hydroquinone, USP 4% (40mg/g); Octinoxate, USP 7.5%; Oxybenzone, USP 5.5% INACTIVES: ascorbic acid, BHT, butylparaben, cetyl alcohol, disodium EDTA, glycerin, methylparaben, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, stearyl alcohol, tocopheryl acetate, water (aqua)']","['DOSAGE AND ADMINISTRATION A thin application should be applied once or twice daily or as directed by a physician. If no improvement is seen after three (3) months of treatment, use of this product should be discontinued. Sun exposure should be limited by using a sunscreen agent or protective clothing to cover bleached skin when using and after using this product in order to prevent darkening from reoccurring.', 'Directions apply liberally 15 minutes before sun exposure use a water resistant sunscreen if swimming or sweating reapply at least every 2 hours Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: limit time in the sun, especially from 10 a.m.–2 p.m. wear long-sleeved shirts, pants, hats, and sunglasses children under 6 months: Ask a doctor']",0,1,2,"[0,1,2]"
51620,['H-Athletes Foot Formula'],"['CALENDULA OFFICINALIS, LYCOPODIUM CLAVATUM, THUJA OCCIDENTALIS']",['HUMAN OTC DRUG'],"['Purpose Calendula officinalis -12C HPUS (healing agent), Lycopodium clavatum -12C HPUS (sweating of the feet), Thuja occidentalis 12C HPUS (for fungus) The letters ‘HPUS’ indicate that the components in this product are officially monographed in the Homoeopathic Pharmacopoeia of the United States']",["Indications: For the temporary relief of athlete's foot symptoms such as burning and itching of the skin."],"['Dist. by Healing Natural Oils 3830 Valley Ctr Dr, #705-526, San Diego, CA 92130, USA']",['Directions: Adults and Children 4 yrs and over: Wash hands before and after use. Shake well and apply 1 or 2 drops to a cotton swab and apply directly to the affected area 3x per day. Do not oversaturate or exceed dosage.'],0,1,2,"[0,1,2]"
54612,['NuDroxiPAK DSDR-75'],"['DICLOFENAC SODIUM, METHYL SALICYLATE/MENTHOL/CAPSAICIN']",['HUMAN PRESCRIPTION DRUG'],['PURPOSE Topical Analgesic'],"['INDICATIONS AND USAGE Carefully consider the potential benefits and risks of diclofenac sodium delayed-release tablets and other treatment options before deciding to use diclofenac sodium delayed-release tablets. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS; Gastrointestinal Bleeding, Ulceration, and Perforation ) . Diclofenac sodium delayed-release tablets, USP are indicated: For relief of the signs and symptoms of osteoarthritis For relief of the signs and symptoms of rheumatoid arthritis For acute or long-term use in the relief of signs and symptoms of ankylosing spondylitis', 'USES: Use for the temporary relief of minor aches and muscle pains associated with arthritis, simple backache, strains, muscle soreness and stiffness. Use for the temporary relief of minor aches and muscle pains associated with arthritis, simple backache, strains, muscle soreness and stiffness.']","['DESCRIPTION Diclofenac sodium delayed-release tablets, USP are a benzene-acetic acid derivative. Diclofenac sodium, USP is a white to almost white crystalline powder and is sparingly soluble in water at 25°C. The chemical name is 2-[(2,6-dichlorophenyl)amino] benzeneacetic acid, monosodium salt. The molecular weight is 318.13. Its molecular formula is C 14 H 10 Cl 2 NNaO 2 , and it has the following structural formula Each enteric-coated tablet for oral administration contains 50 mg or 75 mg of diclofenac sodium, USP. In addition, each tablet contains the following inactive ingredients: aluminum hydrate, colloidal silicon dioxide, hypromellose, lactose monohydrate, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, polyvinyl acetate phthalate, propylene glycol, silica, sodium alginate, sodium starch glycolate (Type A), stearic acid, synthetic black iron oxide, talc, and titanium dioxide. 1']","['DOSAGE AND ADMINISTRATION Carefully consider the potential benefits and risks of diclofenac sodium delayed-release tablets and other treatment options before deciding to use diclofenac sodium delayed-release tablets. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS; Gastrointestinal Bleeding, Ulceration, and Perforation ) . After observing the response to initial therapy with diclofenac sodium delayed-release tablets, the dose and frequency should be adjusted to suit an individual patient’s needs. For the relief of osteoarthritis, the recommended dosage is 100 mg/day to 150 mg/day in divided doses (50 mg twice a day or three times a day, or 75 mg twice a day). For the relief of rheumatoid arthritis, the recommended dosage is 150 mg/day to 200 mg/day in divided doses (50 mg three times a day. or four times a day, or 75 mg twice a day). For the relief of ankylosing spondylitis, the recommended dosage is 100 mg/day to 125 mg/day, administered as 25 mg four times a day, with an extra 25 mg dose at bedtime if necessary. Different formulations of diclofenac (diclofenac sodium delayed-release tablets; diclofenac sodium extended-release tablets, USP; diclofenac potassium immediate-release tablets) are not necessarily bioequivalent even if the milligram strength is the same.', 'DIRECTIONS: Shake before each use. Prior to first use rub small amount to check for sensitivity. Apply product directly to affected area. Dry before contact with clothes or bedding to avoid staining. Wash hands after use. Product may be used as necessary, but should not be used more than four times per day. STORE BELOW (90°F/32°C) Shake before each use. Prior to first use rub small amount to check for sensitivity. Apply product directly to affected area. Dry before contact with clothes or bedding to avoid staining. Wash hands after use. Product may be used as necessary, but should not be used more than four times per day. STORE BELOW (90°F/32°C)']",0,2,1,"[1,2]"
55053,['SKINSEI'],['ETHYL ALCOHOL LIQUID'],['HUMAN OTC DRUG'],['Purpose Antiseptic'],['Uses Hand sanitizer to help reduce bacteria on the skin. Recommended for repeated use'],['SKINSEI HAND SANITIZER - Alcohol liquid Skinsei Hand Sanitizer'],['Directions • Place enough product in your palm to thoroughly spread on both hands and rub into the skin until dry. Recommended for repeated use.'],0,2,1,"[0,1,2]"
55146,['KEKE hand sanitizer 750ml 01'],['ALCOHOL'],['HUMAN OTC DRUG'],"['Use Hand sanitizer helps to reduce bacteria that potentially can cause disease.', 'Purpose Antiseptic']","['Directions place enough product in your palm rub hands vigorously until dry children under 6 years of age should be supervised when using this product. When using this product keep out of eyes. In case of contact with eyes, flush thoroughly with water. Do not inhale or ingest. Avoid contact with broken skin. Other information Do not store above 105F. May discolor some fabrics. Harmful to wood finishes and plastics.']",['Drug Facts KEKE hand sanitizer 750ml'],['Recommended for repeated use. use anywhere without water.'],0,2,1,"[0,1,2]"
55876,['Menthol 4.5% Capsaicin 0.0225%'],['CAPSAICIN AND MENTHOL'],['HUMAN OTC DRUG'],"['Purpose Topical Analgesic', 'Purpose Topical Anesthetic']","['Uses: For temporary relief of minor aches & pains of muscles & joints associated with arthritis, simple backache, strains, bruises, and sprains.', 'INDICATIONS AND USAGE: Menthol 4.5% Capsaicin 0.0225%\u200b Patch\u200b is a formulation used to assist patients for the temporary relief of minor aches & pains of muscles & joints associated with arthritis, simple backache, strains, bruises, and sprains. Peripheral neuropathies such as diabetic neuropathy or post herpetic neuralgia, may also be symptomatically improved using this patch if recommended by the healthcare team. Other uses may be considered if deemed clinically relevant.']","['DESCRIPTION: Menthol 4.5% Capsaicin 0.0225%\u200b Patch\u200b is an OTC topical patch containing 15 articulated Menthol 4.5% Capsaicin 0.0225%\u200b Patch\u200bs (5 per re-sealable pouch x 3 pouches). Capsaicin is present in a 0.0225% concentration (w/w). It is chemically designated as ( E )- N -[(4-Hydroxy-3-methoxyphenyl) methyl]-8- methylnon-6-enamide and has an empirical formula of C 18 H 27 NO 3 . The molecular weight of capsaicin is 305.41 g/mol. Menthol is present in a 4.5% concentration (w/w). The chemical name is (1 R ,2 S ,5 R )-2- isopropyl-5-methylcyclohexanol. The empirical formula for menthol is C 10 H 20 O with a molecular weight of 156.27 g/mol. The structural formulas are: chemical structure']",['Directions: Adults and children 12 years and over: Apply 1 patch to the affected area of intact skin up to 3 times a day. Do not leave patch on for more than 8 hours at a time. Instructions for Use: Clean and dry the affected area. Open pouch and remove one patch. Remove any protective film and apply directly to affected area of pain. Apply immediately after removal from the protective envelope. Wash hands with soap and water after handling the patches. Reseal pouch containing unused patches after each use. Do not store patch outside the sealed envelope. Discontinue use at least 1 hour before a bath or shower and do not use immediately after a bath or shower. Fold used patches so that the adhesive side sticks to itself and safely discard used patches or pieces of cut patches where children and pets cannot get to them.'],0,2,1,"[1,2]"
56630,['Hempvana Pain Relief'],['TROLAMINE SALICYLATE'],['HUMAN OTC DRUG'],['Purpose Trolamine Salicylate 10%................Topical Analgesic'],['Uses temporarily relieves minor pain associated with: • arthritis • simple backache • muscle strains • sprains • bruises'],"['Hempvana ® Pain Relief Cream absorbs quickly and goes to work instantly. Its unique formula includes a proven active ingredient plus the moisturizing benefit of cold pressed hemp seed* extract for soothing relief to back, neck, shoulders, feet, wrists, calves and more. Maximum Strength Odor Free Non-Irritating No Burning Non Greasy TAMPER EVIDENT: Do not use if safety seal on cap is broken or missing. For more information, visit www.HempvanaStore.com *Complies with Federal Law. Hemp seed extract in the form of oil made by cold-pressing industrial hemp seeds. cultivar. Dist. by: Telebrands Corp. 79 Two Bridges Road, Fairfield, NJ 07004']","['Directions Adults and children 2 years of age and older: Apply to affected area not more than 3 to 4 times daily Children under 2 years of age: Consult a physician Massage into painful area until thoroughly absorbed into skin. Repeat as necessary, but no more than 4 times daily.']",0,2,1,"[0,1,2]"
59327,['ELEVATE 5% MINOXIDIL FOAM'],['ELEVATE 5% MINOXIDIL FOAM'],['HUMAN OTC DRUG'],['Hair regrowth treatment for men'],"['HOW TO USE Dispense one pump of topical foam onto dry fingers. Spread the foam over the targeted regrowth area, massaging the foam into the scalp.Thoroughly wash your hands after applying to the scalp. Replace the cap to prevent the foam from drying out.']","['ABOUT THE PRODUCT Elevate 5% Minoxidil Foam is a hair regrowth foam to revitalize,increase hair follicle activity, and hair protein production to grow thicker hair. It is ideal for revitalizing hair follicles, treating thinning hair, receding hairlines, mild to moderate pattern baldness, general hair loss, and getting a jumping start on an anti-hair loss routine in the early stages of hair thinning. The easy-to-apply foam is suitable for all hair types and textures.']",[''],0,2,1,"[0,1,2]"
59641,['IOSAT'],['POTASSIUM IODIDE'],['HUMAN OTC DRUG'],['Purpose Thyroid blocking'],"['Uses Helps prevent radioactive iodine from getting into the thyroid gland during a nuclear radiation emergency. Use along with other emergency measures recommended by public officials.', 'INDICATIONS IOSAT™ (Potassium Iodide tablets, USP) is a thyroid blocking medicine that is used in a nuclear radiation emergency only.']","['DESCRIPTION Each white, round, cross-scored—the name IOSAT stamped on one side—tablet contains 65 mg of potassium iodide.']","['Directions use as directed by public officials in the event of a nuclear radiation emergency do not take more than 1 dose in 24 hours tablets can be whole or crushed and mixed in milk, baby formula, water, orange juice, flat soda like cola, or raspberry syrup The liquid mixture should be given to infants, young children, and others who cannot swallow tablets; see consumer package insert on how to make a liquid mixture. Age Dose Adults over 18 years 2 tablets (whole or crushed) daily (130 mg) Children over 12 years to 18 years who weigh at least 150 pounds 2 tablets (whole or crushed) daily (130 mg) Children over 12 years to 18 years who weigh less than 150 pounds 1 tablet (whole or crushed) daily (65 mg) Children over 3 years to 12 years 1 tablet (whole or crushed) daily (65 mg) Children over 1 month to 3 years 1/2 tablet (crushed) 32.5 mg daily as directed in the consumer package insert Birth to 1 month 16.25 mg daily as directed in the consumer package insert If pregnant, breastfeeding, have a baby up to 1 month of age or have thyroid disease (except nodular thyroid disease with heart disease), take as directed above and contact a doctor as soon as possible.']",0,2,1,"[0,1,2]"
62602,['NAUS-EASE'],['MECLIZINE HYDROCHLORIDE'],['HUMAN OTC DRUG'],['PURPOSE Antiemetic'],"['INDICATIONS AND USAGE For Consumers (the general public): Naus-Ease® (Meclizine Hydrochloride), USP Film Strips are used for the prevention and treatment of nausea and vomiting, or dizziness associated with motion sickness. For Health Professionals: Based on a review of Meclizine Hydrochloride, USP drug by the National Academy of Sciences – National Research Council and/or other information, FDA has classified the indications of Meclizine Hydrochloride, USP as follows: 1. The prevention and treatment (management) of nausea and vomiting, and dizziness associated with motion sickness. 2. For the treatment of vertigo.']","['DESCRIPTION Chemically, Meclizine Hydrochloride, USP is 1-( p -Chloro-a-phenylbenzyl)-4-( m -methylbenzyl) piperazine dihydrochloride monohydrate. Meclizine Hydrochloride, USP is an oral antiemetic, which is a white to slightly yellowish crystalline powder having a slight odor and is tasteless. The molecular weight is 481.89 g/mol. It has the following structural formula: C 25 H 27 CIN 2 ·2HCl·H 2 0 M.W. 481.88544 g/mol Meclizine Hydrochloride, USP Structural Formula']","['DOSAGE AND ADMINISTRATION (DIRECTIONS) Adults and children 12 years of age and over: Take 1 to 2 Naus-Ease® (Meclizine Hydrochloride), USP Film Strips (25 mg to 50 mg) once daily, or as directed by a physician. Place a film strip on the tongue. Allow each film strip to completely dissolve, and then swallow. The initial dose of 25 mg to 50 mg of Naus-Ease® (Meclizine Hydrochloride), USP Film Strips should be taken one hour prior to travel for the prevention and treatment of motion sickness. Thereafter, the dose may be repeated every 24 hours for the duration of the journey.']",0,2,1,"[1,2]"
63315,['Hand Sanitizer'],['ALCOHOL'],['HUMAN OTC DRUG'],"['Purpose Antiseptic, Hand Sanitizer']",['Use Hand Sanitizer to help reduce bacteria that potentially can cause disease. For use when soap and water are not available.'],['Product Identity Hand Sanitizer - Antibacterial Spray 3.4 fl oz | 100 ml 6.8 fl oz | 200 ml'],['Directions Spray enough product on hands to cover all surfaces. Rub hands together until dry. Supervise children under 6 years of age when using this product to avoid swallowing.'],0,2,1,"[1,2]"
63391,['Love Beauty and Planet'],['BELOVED CHERRY BLOSSOM AND TEA ROSE HAND SANITIZER'],['HUMAN OTC DRUG'],['Purpose Antiseptic'],['Uses Hand sanitizer to help reduce bacteria on the skin'],['LOVE BEAUTY AND PLANET BELOVED CHERRY BLOSSOM & TEA ROSE HAND SANITIZER - Ethyl Alcohol gel Love Beauty and Planet Beloved Cherry Blossom & Tea Rose Hand Sanitizer'],['Directions Wet hands thoroughly with product and rub lightly until dry. Do not wipe off or rinse.'],0,2,1,"[0,1,2]"
63401,['nu-derm system normal-dry skin transformation'],"['HYDROQUINONE, OCTISALATE AND ZINC OXIDE']",['HUMAN PRESCRIPTION DRUG'],['Active ingredients Purpose Homosalate 10% Sunscreen Octisalate 5% Sunscreen Zinc Oxide 16.5% Sunscreen'],"['INDICATIONS AND USAGE For the gradual bleaching of hyperpigmented skin conditions such as chloasma, melasma, freckles, senile lentigines and other unwanted areas of melanin hyperpigmentation.', 'Uses helps prevent sunburn If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun']","['DESCRIPTION Hydroquinone, USP 4% is 1, 4-benzenediol. The drug is freely soluble in water and in alcohol. Chemically, hydroquinone is designated as p-dihydroxybenzene; the empirical formula is C 6 H 6 O 2 ; molecular weight is 110.11 g/mol. The chemical structure is in the diagram below. Chemical Structure Each gram of Obagi Nu-Derm ® Clear contains: ACTIVE: Hydroquinone, USP 4% (40 mg/g) INACTIVES: ascorbic acid, BHT, butylparaben, cetyl alcohol, disodium EDTA, glycerin, lactic acid, methylparaben, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, stearyl alcohol, tocopheryl acetate, water (aqua) Each gram of Obagi Nu-Derm Blender ® contains: ACTIVE: Hydroquinone, USP 4% (40 mg/g) INACTIVES: ascorbic acid, BHT, cetyl alcohol, disodium EDTA, glycerin, lactic acid, methylparaben, phenyl trimethicone, PPG-2 myristyl ether propionate, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, TEA-salicylate, tocopheryl acetate, water (aqua) Each gram of Obagi Nu-Derm ® Sunfader ® contains: ACTIVES: Hydroquinone, USP 4% (40mg/g); Octinoxate, USP 7.5%; Oxybenzone, USP 5.5% INACTIVES: ascorbic acid, BHT, butylparaben, cetyl alcohol, disodium EDTA, glycerin, methylparaben, propylparaben, saponins, sodium lauryl sulfate, sodium metabisulfite, stearyl alcohol, tocopheryl acetate, water (aqua)']","['DOSAGE AND ADMINISTRATION A thin application should be applied once or twice daily or as directed by a physician. If no improvement is seen after three (3) months of treatment, use of this product should be discontinued. Sun exposure should be limited by using a sunscreen agent or protective clothing to cover bleached skin when using and after using this product in order to prevent darkening from reoccurring.', 'Directions apply liberally 15 minutes before sun exposure use a water resistant sunscreen if swimming or sweating reapply at least every 2 hours Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: limit time in the sun, especially from 10 a.m.–2 p.m. wear long-sleeved shirts, pants, hats, and sunglasses children under 6 months: Ask a doctor']",0,2,2,"[0,1,2]"
